영화명,평점,리뷰
닥터 스트레인지: 대혼돈의 멀티버스,10,완다비전을 꼭 봐야하는!! 검색해서 완다비전 줄거리라도 알고 가시면 정말 재밌게 볼수 있어요^^ 눈이 넘 즐거웠던
더 배트맨,1,세상에 태어나서 졸라 재밌게 본영화 이영화를 보기전의 나와 보고나서의 나로 나뉘어진다 !
범죄도시2,10,너무 재밌게 봤어요~~~
범죄도시2,10,
범죄도시2,10,베테랑 이후 최고의 코믹액션 범죄 형사물킬링 포인트가 한 둘이 아니다
"파리, 13구",9,파리의 사는 3명의 청년의 이야기
공범자들,10,"몰랐던부분까지 알게되었습니다언론인분들  지난  많은시간동안 많이 힘드셨을것같아요 힘내시고, 응원합니다"
윈드 리버,10,"살인사건이라는 밑밥을 던졌지만, 실상 우리에게 보여지는 실체는 고립된 존재들의 미쳐가는 각자의 모습을 표현해준다. 올슨이 얼마나 추웠을까는 기온적인 추위가 표면적으로 보여지지만. 각자각자의 고립됨의 외로움을 말해주는게 아닐까 싶다."
다크 나이트,7,지나치게 진지해진 박쥐남. 만화적인 매력이 아쉬워.
멜랑콜리아,10,우울증 겪어본 사람은 너무 공감가는 영화일듯
범죄도시2,10,올해 본 것 중 최고다 강동석
범죄도시2,10,"진짜 존잼존잼 시간 가는줄 몰랐음,,,"
범죄도시2,10,
범죄도시2,10,
범죄도시2,10,강해상 연기 지림....
범죄도시2,10,그냥 영화관가서 보셈 말이 필요없음
닥터 스트레인지: 대혼돈의 멀티버스,5,마블은 죽었다. 대혼돈 그 자체.
범죄도시2,10,오랜만에 깔깔웃으면서 영화를봤습니다
"파리, 13구",8,
범죄도시2,10,시간 보내기 좋다. 15세 관람가 수위가 많이 높아진 듯
범죄도시2,10,진짜영화보던중  제일 잼나는영화  엄지척
범죄도시2,10,이건 좀 참즤~ 무조건 봐야즤~
범죄도시2,10,손석구 악당인데 섹시함.. ㅠㅠ 마동석 웃김.
