,리뷰
176,시원한데 아직도 냄새가 완전히 사라지지 않았어요 그게 아쉽
177,혼자서도 조립하기 쉬워요
178,시원하긴한데 재구매는 안할듯해요
179,추천합니다 추천합니다
180,뚜껑이 잘못온줄알았는데 제가 거꾸로 달았더라구요 회전할때보니까 딸깍딸깍 소리나서 다시 조립했더니 잘돌아가네요 소리나시는분들 다시해보세요
181,작은데 바람도 쎄고 좋네요 저렴하게 득템했어요
182,ㅋㅋㅋㅋㅋㅋ 선이 짧아요요용
183,작지만 시원하네요 소음은 좀 있어요
184,조아조아 요 재구매 가능 합니다
185,필요해서 샀는데 잘쓰고있는데
186,저희집에서 구매했다가 공간차지도 안하고 소음도 괜찮고 시원하고 ㅋㅋ 친정부모님댁에 드릴려고 재구매했어요 약간에 앞쪽 망 틀에 흠집이 있긴했으나 크게 문제될게아니라 걍 사용합니다
187,작은데 바람은 음청 파워풀 생각보다 소음이 있어요
188,좋아요 잘도착했어요 피복이 벗겨져 보이는데 안에 전선이 벗겨진건 아닌것 같아서 그냥 써요
190,너무 예쁘고 성능좋은 선풍기
191,사이즈가 아담한것치고 바람세기 세요 새제품이라 냄새가 좀 심하게 나고 소음이 좀 있네요
198,배송도 빠르고 가볍고 좋네요
199,저렴하게 잘산것같아용저렴하게 잘산것같아용
200,조립시 날개 고정너트를 타이트한 방향으로 꼬옥 조여주세요 확실히 처음보다소리가 덜납니다 가성비 좋습니자
201,잘받엇어요잘받앗어요
202,좋아요 좋아요
203,귀엽고 예쁘고 성능좋네요
204,아주좋습니다잘슬게요ㅡ
205,배송도빠르고 상품도 넘좋네요
206,빨라요 조립해볼께용
207,작아서 공간차지 않하고 심플합니다
208,다른건 다쉬웠는데 몸체와 기둥 연결시 세워서 마춰야 편함 줄 넣고 구멍맞춘다고 눕혀서 햇더니 안맞아 헤멤ㅡㅡ 작동잘되고 소음은 약간있지만 일단 선풍기보단 쎕니다 선풍기가 단거리용이라면 이건 장거리용 ㅋㅋ회전도 잘되고 상하 각도도 괜찮아요 선풍기보다 비싸긴해도 공간차지가 작아 원룸이나 작은방엔 딱 갠적으로 강추 
209,바람도 세고 가격도 착하고 강추합니다
210,지인이 제가 산걸 보더니 딸한테 준다고 주문해달래서 주문했어요 가격도 저렴하고 바람도 무지 세답니다
212,싸게 잘샀어요 아직사용전이예요
213,디자인도 맘에들어요 잘 구입한듯
214,다 좋은데 소리가 너무커요제기준 시간 타이머 없어요
215,제품에 아주 만족합니다
216,바람이 일직선으로 쭉 잘나가요
217,선풍기가 필요해서 구매했는데 예쁘고 자리차지 덜하고 바람도 세요 아쉬운 점은 타이머가 없음
218,좋아요 소음 심하지 않아요 깔끔하고 작동 잘 됩니다
219,저렴하고 좋은 상품 감사합니다
221,작지만 바람이 쎄요 소음은 크지않고 가성비 좋아요 타이머 없는것이 좀 아쉽네요
222,바람 세고 시원합니다
223,가가가없는 선풍기도 있구나
224,저거땜에 식겁했어요 엄청 안돌아가서 문의했더니 잡고하라는 너무 당연하고 뻔한 성의없는 답변에 울컥했네요ㅡㅡ겨우 풀었더니 또 저거 안잠겨서 헛돌아서 두번째 멘붕ㅋㅋ 너무 더워서 그냥 대충 올려놓고 작동했더니 나사만빠지고 날개가 들어가주는 바람에 어찌어찌 했지만 설치시간이 엄청 길었던 휴
225,작고 시원합니다
226,취침타이머 없고 그냥 풍량쎈 선풍기인거같아요 풍향범위가 좁은건 좀 아쉽네요
227,감사합니다 감사합니다 감사합니다
228,소음이 있다는 평이 많은데 펜이 작아서 소음이 있을 수 밖에 없는 구조네요  그래도 그냥 거실에서 더울 때 잠깐 쓸수 있는 용도로 산거라 대체적으로 만족해요
229,부피도 있고 안에 넣는거니 그냥 쓴다만 이런 제품은 처음이네요 반품 귀찮아 그냥 씁니다
230,상태도 좋고 바람도 쎄고 좋아요
231,처음엔 너무 작길래 잘못 골랐구나 싶었는데 볼수록 귀엽고 너무 시원해요 오히려 자리 안차지하고 더 시원하니 최고 가격 역시 착하고요 그래서 하나 더 구입합니다  올여름 시원하게 부탁해
232,잘받았습니다 잘왔어요
233,복잡하지 않은 사용방법땜에 잘사용할것 같네요 고장만 안나면 좋으련만 아직은 좋은건만 보이네요
234,조립도 쉬운 편이고 작동 잘 됩니다 다만 조금 상처들이 있네요
235,빠른배송 좋은품질 굿굿
236,할인받아서싸게잘샀어요바람쐬기도좋아요
237,저렴하게 구매했어요 마음에 드네요
238,대우 에어 써큘레이터 스텐드라 사용하고자 하는 장소에 안성맞춤 입니다 잠깐 켜보니 시원하네요
239,바람세기도 괜찮고 맘에들어요 기능이 단순해요
240,적어서 공간차지 덜하고 바람도 멀리 가네요
241,생각보다 작은데 바람은 시원하네요 에어 써큘레이터를 처음 써봐서 그런지 저소음인지는 잘모르겠습니다 소음이 작지는 않아요
242,귀엽고 시원하고 가걱싸고 
243,너무 귀엽고 성능도 좋고 개 샀어요
244,공간도 많이 차지하지 않고 시원하고
245,배송빠르고 풍향쎄서 좋네요
246,소형이라 공간 많이 차지하지 않아서 너무 좋아요 시간조절기능이 없어 아쉽네요
247,너모 싸서 급하게 지르느라 확인못한게 잘못이죠ㅋㅋ 타이머기능이 없네요 하지만 다른건 다 만족요
248,기둥이랑 바닥조립부분이 살짝 흔들거리고 소음이 좀있지만 바람세기는 최고네요
249,맘에듭니다 타이머없는거 빼구요
250,가격대비 만족합니다 바람 쎄기도 강하고요 이가격에 소음까지는 바라지 않지만 귀엽고 괜찮아요
251,좋아요좋아요좋아요좋아요좋아요좋아요감사합니다
252,바람 쎄고 이쁘기까지 하네여
253,바람 엄청 세고 좋네여 소음도 적은편이고요 잘 쓰겠습니다
254,선풍기 너무 저렴하게 구입했네요 조그만한데 바람은 엄청 강하네요 빠른배송 너무 놀랐네요
255,빠른 배송 감사합니다
256,항상쓰던거이요 좋아요
257,귀여워요 작아서 보관하기도 편하고 조립도 간편 한대 더 주문해야겠어요
258,배송도 빠르고 너무 좋아요
259,가격이 너무 저렴해서 걱정했는데 생각보다 너무 마음에 들었어요 앞으로도 자주 이용할께요 감사합니다
260,너무 좋아요 바람도 세고작지만 가성비 좋은듯요 하나 더 사야겠네요
261,교환처리 하니 오래 걸려 받았어요시원해요
262,빅스마일 데이에 찜해놨던 물건 싸게 잘 삼
263,작은 깨진듯한 부스러기 있고 박스포장이 좀 엉성한거 빼고는 가격대비 무난합니다
264,좋은데 타이머가 없어서 아쉽네요
265,조립만하고 사용은 아직요
266,디자인이쁘고 조립쉽고 한데 소음이 어마어마합니다
267,소음 좀 있긴한데 괜찮아요ㅎ
268,배송 엄첨 빠르고 좋네요
269,목부분 끄덕거림 빼고는 다 좋아요
270,목부분에 끄덕거림이 있는거 빼고는 다 좋아요
271,가성비는 좋은 편인데 힘이 없어서 약간 흔들거림이 있는것 같아요
272,배송 빠르고 좋아요 잘쓸게요
274,가격도 저렴하고 좋습니다
275,조립도 간단하고 사용법도 간단하고 선풍기 날개가 작으니 공간도 덜차지하고 바람도 세고 배송도 빨라요
276,시원하니 좋아요 잘 사용할께요
277,배송도 빠르고 가격도 착해요
278,소음은 좀 있는 편이에요 쓰던 선풍기보다 소리가 커요 바람이 멀리 퍼져요
279,조립이 간단해서 뚝딱했네요 작지만 세요
280,배송 빠르고 써큘도 좋아요
281,다좋은데가격도 그렇고 시원하고 밑에 나사 끼우는게 누가쓰던걸 보낸건지 반품하려다 한철 쓴다 생각하고 그냥씁니다 싸다고 이런거보내지마세요
282,단인데 바람 완전 셈
283,배송좋아요
284,여름에 잘쓰겠어요 감사
285,받앗어요 타이머없는게 거시기하지만 소음적고 성능조아서 두번째삼ㅋ
286,요즘 일반 선풍기도 왠만하면 리모컨이 같이 나오던데 이제품은 리모컨도 없고 생각했던거 이하에요
287,잘받았습니다 아직 설치하기 전입니다만 잘사용하겠습니다 감사합니다 앞으로도 잘 부탁드립니다 역시 굿입니다
288,배송 하루만에 왔어요 조립전에 선이 까져있고 갈색이 묻어있어 걱정했는데 작동 잘됩니다 바람도 쎄고 싼가격에 잘샀어요
289,소리가 좀 크다고해서 걱정했는데 집에 있는 거랑 비교했을때 크게 더 시끄럽거나 하진 않은거 같아요 좋아요
290,엄청 빨리왔네요 아직 사용전이지만 좋을꺼라 믿어요
291,꼼꼼히 잘 포장돼서 잘 받았네요 작동도 잘 되네요
292,생각보다 조금 소리가 크긴 한데 거실에서 사용하려고요 바람도 세고 좋아요
294,일반선풍기에 비해 작으면서 소음도 그리 크지않고 바람은 쎕니다 작은데 바람은 쎄니까 거실 제일 바깥쪽 모서리에 세워서 보관하기도 좋고 그 자리에서 식탁까지 바람도 잘 옵니다 쿠폰 이용해서 저렴한가격에 잘 샀습니다 복잡한 기능은 없고 단계 바람세기 조절과 좌우회전기능만 있습니다 리모컨 없는건 괜찮은데 타이머가 없는건 약간 아쉽습니다 그런데 택배는 조심스럽게 해주시면 좋겠습니다 사진처럼 상자 찢어진거 보면 내용물도 망가졌을법 한데 다행히 안망가져서 그냥 씁니다
295,조립도 간단하고 바람도 세고 만족합니다
296,배송도빠르고 조립도쉽고 가성비값 선풍기네요
297,좀 작긴하지만 더울때 제대로 사용하고 다시 올려야 할것 같네요
298,잘 받았습니다잘쓰고있어요
299,너무 허접해요 물론 저렴하긴 하지만 사진에 먼지랑 기름기 보이시죠 만지기가 겁나드라구요 그리고 조립하는곳 나사 곳곳이 마무리가 영안좋아서 뻑뻑합니다
300,선풍기 너무귀여워서 한대더 주문합니다회전 안된다는분들됩니다ㅋㅋㅋ아래 바람세기버튼으로 다되요
301,동그라미 표시 부분만 나사가 있고 테두리 개 구멍에는 나사가 없어요 딱 적당고정만 하라는 거겠죠
302,눈에 보이는 외형은 비싼제품 못지않네요 잔고장 없이 사용했으면 좋겠습니다
303,제품 포장하다가 들어간건지 꼬질한 장갑한짝이 들어있네요 ㅎㅎ 것두 엄지랑검지는 잘려있고요 ㅋ 여튼 좀 찝찝하긴하네요
304,총알배송 하루만에 왔습니다 조립도 금방하고 넘 시원하네요 에어컨 바람 싫어하는데 딱입니다
305,좋아요 가격대비 만족합니다
306,쿠폰할인도받고 파손없는안전배송에 조립도쉽고 회전도잘되고 작고기여운데바람은시원하고 자리도차지마니안해서조아여 단점은 시간조절기능없고 작동시소음은 좀있네요 선이짧아요 가격대비가성비는괜찮은것같아여
307,디자인도 깔끔하고 바람도 세서 시원해요 단틀면 좀 시끄러운감이 있지만 다른것도 그럴거 같고 타이머 없는게 조금 아쉽네요
308,싼 가격에 잘 샀어요 타이머가 안 되는 불편함은 있지만 싼가격에 너무 많은걸 바라면 안되겠죠 ㅎㅎ
309,귀요미하네요 작은방에 쓰기 괜찮은듯
310,배송도빠르고너무조아요
311,저렴하게 잘 구입했답니다
312,저렴한만큼 바람두 약하네요
313,좋아요 좋은데 나사가 없네요
314,슬슬 더워지길래 미리 시켰는데 조립도 쉽고 괜찮은 것 같아요 틀어봤는데 소음도 별로 없고 좋아요
315,디자인 너무 깔끔하고 이뽀요 바람도 시원하게 잘나오네요 타이머 없는건 아쉽지만 이쁘니까 봐줄수있어요ㅎ
